"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"NDBKY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NEDBANK GROUP LTD S/ADR","South Africa","Nedbank Group, Ltd."
"NDCVF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORDIC SEMICONDUCTOR ORD","Norway","NORDIC SEMICONDUCTOR ASA"
"NDEKF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NITTO DENKO CORP ORD","Japan","Nitto Denko Corp."
"NDEKY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NITTO DENKO CORP UNSP/ADR","Japan","Nitto Denko Corp."
"NDEV","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NOVUS ACQSTN  DEV  CORP","USA","Novus Acquisition & Development Corp."
"NDGPF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NINE DRAGONS PAPER HLDGS","Hong Kong","Nine Dragons Paper Holdings Ltd."
"NDGPY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NINE DRAGONS P/H UNSP/ADR","Hong Kong","Nine Dragons Paper Holdings Ltd."
"NDMT","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NOWNEWS DIGITAL MEDIA","Taiwan","NOWNEWS DIGITAL MEDIA TECHNOLOGY CO LTD"
"NDRBF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","B","NIBE INDUSTRIER AB SHS B","Sweden","Nibe Industrier AB"
"NDVLY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NEW WORLD DEV LTD S/ADR","China","New World Development Co., Ltd."
"NDYN","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NAERODYNAMICS INC","USA","NAERODYNAMICS, INC."
"NECA","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NEW AMERICA ENERGY CORP","USA","New America Energy Corp."
"NEEB","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEBRASKA BOOK HLDGS INC","USA","Nebraska Book Holdings, Inc."
"NEFB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NEFFS BANCORP INC","USA","Neffs Bancorp, Inc."
"NEFBP","OTC Link","27/10/2015","OTC Pink Current","N","Preferred Stock","A","NEFFS BANCORP INC PFD SER","USA","Neffs Bancorp, Inc."
"NEGY","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NATION ENERGY INC","Canada","Nation Energy, Inc."
"NEIK","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NORTHSTAR ELECTRONICS INC","Canada","Northstar Electronics Inc."
"NEMD","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","INEEDMD HOLDINGS INC","USA","iNeedMD Holdings, Inc."
"NEOEY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NEON ENERGY LTD U/ADR","Australia","Neon Energy Ltd"
"NEOM","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NEOMEDIA TECHS INC","USA","NeoMedia Technologies, Inc."
"NEPH","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","NEPHROS INC","USA","Nephros, Inc."
"NERG","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NUTECH ENERGY RESOURCES","USA","NuTech Energy Resources, Inc."
"NERO","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEUROMAMA LTD","Poland","Neuromama, Ltd."
"NESRF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORTHERN STAR RES LTD","Australia","Northern Star Resources Ltd"
"NESV","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NATIONAL ENERGY SRVCS INC","USA","National Energy Services, Inc."
"NESW","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEW ENGLAND SERVICE CO","USA","New England Service Co."
"NETDY","OTC Link","27/10/2015","OTCQX International","N","American Depository Receipts","","NETDIMENSIONS HLDS S/ADR","Hong Kong","NetDimensions (Holdings) Limited"
"NETEW","OTC Link","27/10/2015","OTC Pink Current","N","Warrants","","NET ELEMENT INC WTS","USA","Net Element, Inc."
"NEUL","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NEULION INC","USA","NeuLion Inc."
"NEUN","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEUROGENESIS INC","USA","NeuroGenesis, Inc."
"NEVE","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEVO ENERGY INC","USA","Nevo Energy, Inc."
"NEVPF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NEUROVIVE PHARM AB ORD","Sweden","Neurovive Pharmaceutical AB"
"NEWC","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NEW COLOMBIA RES INC","USA","New Colombia Resources, Inc."
"NEWEN","OTC Link","27/10/2015","OTC Pink No Information","N","Preferred Stock","","NEW ENGLAND POWER 6 PR","USA","New England Power Co."
"NFEI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEW FRONTIER ENERGY INC","USA","New Frontier Energy, Inc."
"NFGRF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","BEIJINGWEST INDS INTL LTD","China","Beijingwest Industries International Ltd"
"NFPC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NORTHFIELD PRECISION INST","USA","Northfield Precision Instrument Corp."
"NFRGF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORTHERN FREEGOLD RES NEW","Canada","Northern Freegold Resources Ltd."
"NFSE","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NFINANSE INC","USA","nFinanSe, Inc."
"NFSHF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NTHN OFFSHORE LTD ORD","Bermuda","Northern Offshore Ltd."
"NFTI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NOFIRE TECHNOLOGIES INC","USA","Nofire Technologies, Inc."
"NGCG","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NEW GENERATION CONSUMER","USA","New Generation Consumer Group, Inc."
"NGCRF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NAGACORP LTD ORD","Hong Kong","Nagacorp Ltd."
"NGCRY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NAGACORP LTD UNSP/ADR","Hong Kong","Nagacorp Ltd."
"NGDAF","OTC Link","27/10/2015","OTC Pink Current","N","Warrants","","NEW GOLD INC 17 WTS","Canada","New Gold, Inc."
"NGELF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NEW GUINEA ENERGY LTD ORD","Australia","New Guinea Energy Ltd."
"NGELY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NEW GUINEA ENERGY S/ADR","Australia","New Guinea Energy Ltd."
"NGEY","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NEW GLOBAL ENERGY INC","USA","New Global Energy Inc"
"NGFF","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NGFC EQUITIES INC","USA","NGFC EQUITIES INC."
"NGGTF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NATL GRID TRANSCO ORD","United Kingdom","National Grid Transco Plc"
"NGHT","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NIGHTCULTURE INC","USA","NightCulture, Inc."
"NGKSY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NGK SPARK PLUG UNSP/ADR","Japan","NGK Spark Plug Co. Ltd."
"NGLE","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NOVAMEX ENERGY INC","USA","Novamex Energy, Inc."
"NGLPF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","ALTERNATIVE EARTH RES INC","Canada","Alternative Earth Resources Inc."
"NGMC","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NEXT GENERATION MGMT","USA","Next Generation Management Corp."
"NGPHF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","NORTHERN GRAPHITE ORD","Canada","Northern Graphite Corp."
"NGQRF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NGEX RESOURCES INC","Canada","NGEx Resources Inc."
"NGRC","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NATIONAL GRAPHITE CRP","Germany","National Graphite Corp."
"NGSX","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEUROGESX INC","USA","NeurogesX, Inc."
"NGTF","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NIGHTFOOD HLDGS INC","USA","Nightfood Hldgs Inc."
"NGUGF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NEW GUINEA GOLD CORP","Canada","New Guinea Gold Corp."
"NHEGF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","NIGHTHAWK ENERGY PLC","United Kingdom","Nighthawk Energy plc"
"NHEGY","OTC Link","27/10/2015","OTCQX International","N","American Depository Receipts","","NIGHTHAWK ENERG PLC S/ADR","United Kingdom","Nighthawk Energy plc"
"NHHEY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NH HOTEL GROUP SA S/ADR","Spain","NH Hotel Group S.A."
"NHLE","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NHALE INC","USA","Nhale Inc."
"NHLI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NOUVEAU HOLDINGS LTD","USA","Nouveau Holdings, Ltd."
"NHMD","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NATE'S FOOD CO","USA","Nate's Food Co."
"NHPEF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NEW HOPE CORP LTD ORD","Australia","New Hope Corp. Ltd."
"NHPI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEURO-HITECH INC","USA","Neuro-Hitech, Inc."
"NHRIF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORTHERN IRON CORP ORD","Canada","Northern Iron Corp"
"NHVCF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","NORTHERN VERTEX MINING CO","Canada","Northern Vertex Mining Corp."
"NHYDY","OTC Link","27/10/2015","OTCQX International Premier","N","American Depository Receipts","","NORSK HYDRO A S ADS","Norway","Norsk Hydro ASA"
"NHYKF","OTC Link","27/10/2015","OTCQX International Premier","N","Ordinary Shares","","NORSK HYDRO AS ORD","Norway","Norsk Hydro ASA"
"NIBA","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NI BANCSHARES CORP","USA","NI Bancshares Corporation"
"NICH","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NITCHES INC","USA","Nitches, Inc."
"NICRL","OTC Link","27/10/2015","OTC Pink Current","N","Preferred Stock","","NICOR INC 5 CV PR","USA","Nicor Inc."
"NICXF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NICOX SA EUR ORD","France","Nicox S.A."
"NIDB","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","NORTHEAST INDIANA BNCRP","USA","Northeast Indiana Bancorp, Inc."
"NIDOF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NIDO PETROLEUM LTD","Australia","Nido Petroleum Ltd."
"NIFCY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NIFCO INC UNSP/ADR","Japan","Nifco Inc."
"NIHK","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","VIDEO RIVER NETWORKS INC","USA","Video River Networks, Inc."
"NIHL","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEW INFINITY HOLDINGS LTD","USA","New Infinity Holdings, Ltd."
"NILA","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NILAM RESOURCES INC","Peru","Nilam Resources, Inc."
"NILSY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","MMC NOR NICKEL PJSC S/ADR","Russia","MMC Norilsk Nickel PJSC"
"NIMU","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NON-INVASIVE MONITORG SYS","USA","Non-Invasive Monitoring Systems, Inc."
"NINOY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NIKON CORP UNSP/ADR","Japan","Nikon Corp."
"NIOBF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","NIOCORP DEVELOPMENTS LTD","USA","NioCorp Developments Ltd."
"NIPMY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NH FOODS LTD UNSP/ADR","Japan","NH Foods Ltd."
"NIROF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NEVADA IRON ORD","Australia","Nevada Iron Ltd."
"NISTF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NIPPON STEEL & SUMITOMO","Japan","Nippon Steel & Sumitomo Metal Corp"
"NISUY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NIPPON SUISAN KAISHA ADR","Japan","Nippon Suisan Kaisha Ltd."
"NIUS","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NIUSULE BIO-PHARM CORP","USA","Niusule Bio-pharmaceutical Corp."
"NIUWF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NIEUWE STEEN INVST NV ORD","Belgium","Nieuwe Steen Investments NV"
"NJCB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NEW JERSEY CMNTY BK (NJ)","USA","New Jersey Community Bank"
"NJMC","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NEW JERSEY MINING CO","USA","New Jersey Mining Company"
"NKRKY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NOKIAN TYRES PLC UNSP/ADR","Finland","Nokian Tyres Plc."
"NKRSF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NIKO RESOURCES LTD","Canada","Niko Resources Ltd."
"NKSJF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORSKE SKOGINDUSTRIER AS","Norway","Norske Skogindustrier ASA"
"NKSJY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NORSKE SKOGINDST UNSP/ADR","Norway","Norske Skogindustrier ASA"
"NKWEF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NKWE PLATINUM LTD ORD","Australia","NKWE Platinum Ltd."
"NKWEY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NKWE PLATINUM LTD S/ADR","Australia","NKWE Platinum Ltd."
"NLAB","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NUONCOLOGY LABS INC","USA","NuOncology Labs, Inc."
"NLPXF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NOBLE MINERAL EXPL INC","Canada","Noble Mineral Exploration, Inc."
"NLRT","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","NOGALES RES CORP","Mexico","Nogales Res Corp."
"NMED","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NEW MEDIA INSIGHT GRP","USA","New Media Insight Group, Inc."
"NMEX","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NORTHERN MINERALS & EXPL","USA","Northern Minerals & Exploration Ltd."
"NMGC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEOMAGIC CORP","USA","NeoMagic Corp."
"NMGNF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORTHERN MANGANESE LTD","Australia","Northern Manganese, Ltd."
"NMKEF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","NEMASKA LITHIUM INC ORD","Canada","Nemaska Lithium, Inc."
"NMKTF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","NEWMARKET GOLD INC ORD","Canada","Newmarket Gold Inc."
"NMNB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NEW MILLENNIUM BK NJ","USA","New Millennium Bank (New Brunswick, NJ)"
"NMNX","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","NATIONSMARK NEXTGEN","USA","Nationsmark Nextgen"
"NMNZF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORTEC MINERALS CORP","Canada","Nortec Minerals Corp."
"NMOC","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","NEMO MOTORS CORP","USA","Nemo Motors Corp"
"NMPNY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NORTHAM PLATINUM S/ ADR","South Africa","Northam Platinum Property Ltd."
"NMRD","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","NEMAURA MEDICAL INC","United Kingdom","Nemaura Medical, Inc."
"NMREF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NAMIBIA RARE EARTHS INC","Canada","Namibia Rare Earths Inc."
"NMSCA","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","A","NUTRITION MGMT SVCS CO A","USA","Nutrition Management Services Co."
"NMTT","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","NIMTECH CORP","Turkey","Nimtech Corp."
"NMUS","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NEMUS BIOSCIENCE INC","USA","Nemus Bioscience, Inc."
"NMXS","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NET MEDICAL XPRESS SLTNS","USA","Net Medical Xpress Solutions, Inc."
"NNAB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NANOANTIBIOTICS INC","USA","NanoAntibiotics, Inc."
"NNAN","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NATURALNANO INC","USA","NaturalNano, Inc."
"NNBP","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","NANOBAC PHARMS INC","USA","Nanobac Pharmaceuticals, Incorporated"
"NNCHY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NISSAN CHEML IND UNSP/ADR","Japan","Nissan Chemical Industries, Ltd."
"NNCSF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NANOSONICS LTD ORD","Australia","Nanosonics Ltd."
"NNCT","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","99 CENT STUFF INC","USA","99 Cent Stuff, Inc."
"NNDMY","OTC Link","27/10/2015","OTCQX International","N","American Depository Receipts","","NANO DIMENSION LTD  S/ADR","Israel","Nano Dimension Ltd"
"NNFC","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","NANOFORCE INC","USA","NANOFORCE, INC."
"NNLX","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NANOLOGIX INC","USA","Nanologix, Inc."
"NNMIF","OTC Link","27/10/2015","OTC Pink No Information","N","Ordinary Shares","","NEARCTIC NICKEL MNS INC","Canada","Nearctic Nickel Mines Inc."
"NNRI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NNRF INC","USA","NNRF, Inc."
"NNRX","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NUTRANOMICS INC","USA","Nutranomics, Inc."
"NNSR","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NANOSENSORS INC","USA","NanoSensors, Inc."
"NNTTF","BB","27/10/2015","FINRA BB Only","N","","","NANO-TEXTILE LTD","","Nano-Textile Ltd"
"NNUP","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NOCOPI TECHS INC","USA","NoCopi Technologies, Inc."
"NNUTU","OTC Link","27/10/2015","OTCQX U.S.","N","Units","A","ROYAL HAWAIIAN ORCH D/U A","USA","Royal Hawaiian Orchards, L.P."
"NNWS","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NORTHPORT NETWORK SYS INC","USA","Northport Network Systems, Inc."
"NOBGF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NOBLE GROUP LTD","China","Noble Group Ltd."
"NOBGY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NOBLE GROUP LTD UNSP/ADR","China","Noble Group Ltd."
"NOBH","OTC Link","27/10/2015","OTCQX U.S.","N","Common Stock","","NOBILITY HOMES INC","USA","Nobility Homes, Inc."
"NODB","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","NORTH DALLAS BK&TR CO TEX","USA","North Dallas Bank & Trust Co. (TX)"
"NOEC","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEW ORIENTAL ENGY & CHEM","China","New Oriental Energy & Chemical Corp."
"NOHO","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NOVATION HOLDINGS INC","Canada","Novation Holdings Inc."
"NOKBF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","A","NOKIA A SHS","Finland","Nokia Corp."
"NOKPF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NOK AIRLINES PUBLIC CO","Thailand","Nok Airlines Public Co Ltd."
"NOMHF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NOMAD HOLDINGS LTD ORD","","Nomad Holdings Ltd."
"NONOF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NOVO NORDISK A/S B","Denmark","Novo-Nordisk A/S"
"NORSA","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","A","NORTH ST TELECOMM CORP A","USA","North State Telecommunications Corp."
"NORSB","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","B","NORTH ST TELECOMM CORP B","USA","North State Telecommunications Corp."
"NOSOF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORONT RES LTD","Canada","Noront Resources Ltd."
"NOUV","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NOUVEAU LIFE PHARMS INC","USA","Nouveau Life Pharmaceuticals, Inc."
"NOVC","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NOVATION COS INC","USA","Novation Companies, Inc."
"NOVZ","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NOVAGEN INGENIUM INC","USA","Novagen Ingenium Inc."
"NOXGF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","NIOGOLD MINING CORP","Canada","NioGold Mining Corp."
"NOXL","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NOXEL CORP","Switzerland","Noxel Corp."
"NPACY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NEOPOST SA UNSP/ADR","France","Neopost SA"
"NPEXY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NIPPON EXPRESS UNSP/ADR","Japan","Nippon Express Co., Ltd."
"NPHC","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NUTRA PHARMA CORP","USA","Nutra Pharma Corp."
"NPIFF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORTHLAND PWR INC","Canada","Northland Power, Inc."
"NPKLY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NAMPAK LTD S/ADR","South Africa","Nampak Ltd."
"NPKYY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NIPPON KAYAKU UNSP/ADR","Japan","Nippon Kayaku Co., Ltd."
"NPNYY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NIPPON YUSEN KBSHKI S/ADR","Japan","Nippon Yusen Kabushiki Kaisha"
"NPPXF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NIPPON TEL & TEL CP","Japan","Nippon Telegraph & Telephone Corp."
"NPSGY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NIPPON SHEET GL UNSP/ADR","Japan","Nippon Sheet Glass Co., Ltd."
"NPSHY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NIPPON SHOKUBAI CO S/ADR","Japan","Nippon Shokubai Co. Ltd."
"NPSKY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NSK LTD UNSP/ADR","Japan","NSK Ltd."
"NPSNY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NASPERS LTD S/ADR","South Africa","Naspers Ltd."
"NPTOF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NEPTUNE ORIENT LINES ORD","Singapore","Neptune Orient Lines Ltd."
"NPTOY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NEPTUNE ORIENT LNS S/ADR","Singapore","Neptune Orient Lines Ltd."
"NPWZ","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","NEAH POWER SYS INC","USA","Neah Power Systems, Inc."
"NQCI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NATL QUALITY CARE INC","USA","National Quality Care, Inc."
"NQST","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NUQUEST INC","USA","Nuquest, Inc."
"NRBAY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NORDEA BANK AB S/ADR","Sweden","Nordea Bank AB"
"NRBT","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","NOVUS ROBOTICS INC","Canada","Novus Robotics, Inc."
"NRDCQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NATURADE INC","USA","Naturade, Inc."
"NRDSQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NORD RESOURCES CORP","USA","Nord Resources Corp."
"NRDXF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORDEX AG AKT","Germany","Nordex AG"
"NRGEO","OTC Link","27/10/2015","OTC Pink Current","N","Preferred Stock","","NRG ENERGY INC CONV PFD","USA","NRG Energy, Inc."
"NRGSP","OTC Link","27/10/2015","OTC Pink No Information","N","Preferred Stock","","NARRAGANSETT ELEC 41/2 PR","USA","Narragansett Electric Co."
"NRGT","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","ENERGY TODAY INC","USA","Energy Today Inc."
"NRGXQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NEUROLOGIX INC","USA","Neurologix, Inc."
"NRIFF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NUVO RESEARCH INC ORD","Canada","Nuvo Research Inc."
"NRILY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","NOMURA RESEARCH INST ADR","Japan","Nomura Research Institute Ltd."
"NRLB","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","NORTHERN CALIF BNCP INC","USA","Northern California Bancorp, Inc."
"NROM","OTC Link","27/10/2015","OTCQB","N","Common Stock","","NOBLE ROMAN'S INC","USA","Noble Roman's, Inc."
"NRPI","OTC Link","27/10/2015","OTC Pink No Information","Y","Common Stock","","NRP STONE INC","Canada","NRP Stone, Inc."
"NRPR","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","NUTRI PHARMS RESH INC","USA","Nutri Pharmaceuticals Research, Inc."
"NRSCF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NOMURA HLDGS INC","Japan","Nomura Holdings, Inc."
"NRSRF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NORTHLAND RES SA","Sweden","Northland Resources S.A."
"NRTI","OTC Link","27/10/2015","OTCQB","N","Common Stock","","INERGETICS INC","USA","Inergetics, Inc."
"NSANF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","NISSAN MOTOR LTD","Japan","Nissan Motor Co., Ltd."
