"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"CPPD","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CIRCA PICS&PRODTN CO INTL","USA","Circa Pictures & Production Co. International, Inc."
"CPPKF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","COPPERBANK RES CORP ORD","Canada","Copperbank Res Corp"
"CPPMF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","COPPER MTN MNG CORP","Canada","Copper Mountain Mining Corp."
"CPPXF","OTC Link","27/10/2015","OTCQB","N","Ordinary Shares","","CONTL ENERGY CORP","USA","Continental Energy Corp."
"CPQQ","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CHINA POWER EQUIPMENT INC","China","China Power Equipment Inc."
"CPROF","OTC Link","27/10/2015","OTC Pink No Information","N","Ordinary Shares","","CORTELCO SYS PUERTO RICO","Puerto Rico","Cortelco Systems Puerto Rico Inc."
"CPSL","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","CHINA PRECISION STEEL INC","USA","China Precision Steel, Inc."
"CPSN","OTC Link","27/10/2015","OTCQB","N","Common Stock","","CRYPTOSIGN INC","USA","CryptoSign, Inc."
"CPSO","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CAPSOURCE FINCL INC","USA","CapSource Financial, Inc."
"CPTP","OTC Link","27/10/2015","OTCQX U.S. Premier","N","Common Stock","A","CAPITAL PROPERTIES INC A","USA","Capital Properties, Inc."
"CPVNF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CAPITAL VNTR EUR ORD","United Kingdom","Capital Venture Europe Plc"
"CPWHF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CERES POWER HLDGS PLC ORD","United Kingdom","Ceres Power Holdings plc"
"CPWY","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CLEAN ENERGY PATHWAYS INC","USA","Clean Energy Pathways, Inc."
"CPXP","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","COUPON EXPRESS INC","USA","Coupon Express, Inc."
"CPXVF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CAP-EX IRON ORE ORD","Canada","Cap-Ex Iron Ore Ltd."
"CPYT","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CAREPAYMENT TECH INC","USA","CarePayment Technologies, Inc."
"CPYYF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CENTRICA PLC ORD","United Kingdom","Centrica Plc"
"CPYYY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CENTRICA PLC S/ADR","United Kingdom","Centrica Plc"
"CQCQ","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","MAKINGORG INC","USA","MakingORG, Inc."
"CQGU","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","ORIENTAL MAGIC SOUP INC","USA","Oriental Magic Soup, Inc."
"CQPTY","OTC Link","27/10/2015","OTCQX International","N","American Depository Receipts","","COLLPLANT HLDGS SPNS/ADR","Israel","Collplant Holdings Ltd"
"CQRLF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CONQUEST RES LTD ORD","Canada","Conquest Resources Ltd."
"CRARF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CREDIT AGRICOLE SA","France","Credit Agricole SA"
"CRARY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CREDIT AGRICOLE UNSP/ADR","France","Credit Agricole SA"
"CRBJY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHINA RES LAND UNSP/ADR","China","China Resources Land Ltd."
"CRBL","OTC Link","27/10/2015","OTCQB","N","Common Stock","","CARBON CREDIT INTL INC","USA","Carbon Credit International, Inc."
"CRBO","OTC Link","27/10/2015","OTCQB","N","Common Stock","","CARBON NATURAL GAS CO","USA","Carbon Natural Gas Company"
"CRCA","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CONN RVR CMNTY BK CT","USA","Connecticut River Community Bank (Wethersfield, CT)"
"CRCBY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHONGQUING RURAL COML BK","China","Chongquing Rural Commercial Bank Co Ltd."
"CRCL","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CIRCLE STAR ENERGY CORP","USA","Circle Star Energy Corp."
"CRCO","OTC Link","27/10/2015","OTCQB","N","Common Stock","","CAROLCO PICTURES INC","USA","Carolco Pictures, Inc."
"CRCUF","OTC Link/BB","27/10/2015","OTCQB","N","Ordinary Shares","","CANARC RESOURCE CORP","Canada","Canarc Resource Corp."
"CRCX","OTC Link","27/10/2015","OTCQB","N","Common Stock","","CONTINENTAL RAIL CORP NEW","USA","Continental Rail Corp."
"CRDAF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","CORONADO RES LTD ORD","Canada","Coronado Resources Ltd."
"CRDW","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","CROWD SHARES AFTERMARKET","USA","Crowd Shares AfterMarket, Inc."
"CRDX","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CREDEX CORPORATION","USA","Credex Corporation"
"CREAF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CREATIVE TECH LTD ORD","Singapore","Creative Technology Ltd."
"CRECF","OTC Link","27/10/2015","OTCQX International","N","Ordinary Shares","","CRITICAL ELEMENTS CRP ORD","Canada","Critical Elements Corp"
